,Code,Code6,CommonName,GenusSpecies
0,HITI,NOTBON,Highland Tinamou,Nothocercus bonapartei
1,GRTI,TINMAJ,Great Tinamou,Tinamus major
2,LITI,CRYSOU,Little Tinamou,Crypturellus soui
3,THTI,CRYCIN,Thicket Tinamou,Crypturellus cinnamomeus
4,SBTI,CRYBOU,Slaty-breasted Tinamou,Crypturellus boucardi
5,CHTI,CRYKER,Choco Tinamou,Crypturellus kerriae
6,WFWD,DENVID,White-faced Whistling-Duck,Dendrocygna viduata
7,BBWD,DENAUT,Black-bellied Whistling-Duck,Dendrocygna autumnalis
8,WIWD,DENARB,West Indian Whistling-Duck,Dendrocygna arborea
9,FUWD,DENBIC,Fulvous Whistling-Duck,Dendrocygna bicolor
10,EMGO,ANSCAN,Emperor Goose,Anser canagicus
11,SNGO,ANSCAE,Snow Goose,Anser caerulescens
12,LSGW,ANSCCA,Lesser Snow Goose White-morph,Anser caerulescens caerulescens
13,LSGI,ANSCCA,Lesser Snow Goose Intermediate-morph,Anser caerulescens caerulescens
14,LSGB,ANSCCA,Lesser Snow Goose Blue-morph,Anser caerulescens caerulescens
15,GSGW,ANSCAT,Greater Snow Goose White-morph,Anser caerulescens atlantica
16,GSGI,ANSCAT,Greater Snow Goose Intermediate-morph,Anser caerulescens atlantica
17,GSGB,ANSCAT,Greater Snow Goose Blue-morph,Anser caerulescens atlantica
18,SRGH,ANSCAR,Snow X Ross's Goose Hybrid,Anser caerulescens x rossii
19,SRGO,ANSCRO,Snow/Ross's Goose,Anser caerulescens/rossii
20,ROGO,ANSROS,Ross's Goose,Anser rossii
21,GRGO,ANSANS,Graylag Goose,Anser anser
22,GWFG,ANSALB,Greater White-fronted Goose,Anser albifrons
23,TWFG,ANSALE,Tule Greater White-fronted Goose,Anser albifrons elgasi
24,LWFG,ANSERY,Lesser White-fronted Goose,Anser erythropus
25,TABG,ANSFAB,Taiga Bean-Goose,Anser fabalis
26,TUBG,ANSSER,Tundra Bean-Goose,Anser serrirostris
27,PFGO,ANSBRA,Pink-footed Goose,Anser brachyrhynchus
28,BRAN,BRABER,Brant,Branta bernicla
29,ATBR,BRABBE,Atlantic Brant,Branta bernicula bernicula
30,BABI,BRABBN,Black X Atlantic Brant Intergrade,Branta bernicula bernicula x nigrican
31,BLBR,BRABNI,Black Brant,Branta bernicula nigricans
32,BARG,BRALEU,Barnacle Goose,Branta leucopsis
33,CACG,BRAHUT,Cackling Goose,Branta hutchinsii
34,ACGO,BRAHLE,Aleutian Cackling Goose,Branta hutchinsii leucopareia
35,MCGO,BRAHMI,Minima Cackling Goose,Branta hutchinsii minima
36,CCGO,BRAHUC,Cackling/Canada Goose,Branta hutchinsii/canadensis
37,CANG,BRACAN,Canada Goose,Branta canadensis
38,LCGO,BRACMO,Large Canada Goose,Branta canadensis moffitti
39,SCGO,BRACPA,Small Canada Goose,Branta canadensis parvipes
40,HAGO,BRASAN,Hawaiian Goose,Branta sandvicensis
