,Code,Code6,CommonName,GenusSpecies
28,BRAN,BRABER,Brant,Branta bernicla
33,CACG,BRAHUT,Cackling Goose,Branta hutchinsii
37,CANG,BRACAN,Canada Goose,Branta canadensis
43,TRUS,CYGBUC,Trumpeter Swan,Cygnus buccinator
54,WODU,AIXSPO,Wood Duck,Aix sponsa
59,CITE,SPACYA,Cinnamon Teal,Spatula cyanoptera
60,NSHO,SPACLY,Northern Shoveler,Spatula clypeata
61,GADW,MARSTR,Gadwall,Mareca strepera
63,EUWI,MARPEN,Eurasian Wigeon,Mareca penelope
64,AMWI,MARAME,American Wigeon,Mareca americana
69,MALL,ANAPLA,Mallard,Anas platyrhynchos
76,GWTE,ANACRE,Green-winged Teal,Anas crecca
79,CANV,AYTVAL,Canvasback,Aythya valisineria
82,RNDU,AYTCOL,Ring-necked Duck,Aythya collaris
84,GRSC,AYTMAR,Greater Scaup,Aythya marila
85,LESC,AYTAFF,Lesser Scaup,Aythya affinis
92,SUSC,MELPER,Surf Scoter,Melanitta perspicillata
94,WWSC,MELDEG,White-winged Scoter,Melanitta deglandi
99,BUFF,BUCALB,Bufflehead,Bucephala albeola
100,COGO,BUCCLA,Common Goldeneye,Bucephala clangula
101,BAGO,BUCISL,Barrow's Goldeneye,Bucephala islandica
103,HOME,LOPCUC,Hooded Merganser,Lophodytes cucullatus
104,COME,MERMER,Common Merganser,Mergus merganser
105,RBME,MERSER,Red-breasted Merganser,Mergus serrator
170,PBGR,PODPOD,Pied-billed Grebe,Podilymbus podiceps
172,HOGR,PODAUR,Horned Grebe,Podiceps auritus
173,RNGR,PODGRI,Red-necked Grebe,Podiceps grisegena
175,WEGR,AECOCC,Western Grebe,Aechmophorus occidentalis
179,ROPI,COLLIV,Rock Pigeon,Columba livia
189,BTPI,PATFAS,Band-tailed Pigeon,Patagioenas fasciata
198,EUCD,STRDEC,Eurasian Collared-Dove,Streptopelia decaocto
230,MODO,ZENMAC,Mourning Dove,Zenaida macroura
288,BLSW,CYPNIG,Black Swift,Cypseloides niger
300,VASW,CHAVAU,Vaux's Swift,Chaetura vauxi
372,ANHU,CALANN,Anna's Hummingbird,Calypte anna
376,RUHU,SELRUF,Rufous Hummingbird,Selasphorus rufus
457,VIRA,RALLIM,Virginia Rail,Rallus limicola
467,AMCO,FULAME,American Coot,Fulica americana
503,KILL,CHAVOC,Killdeer,Charadrius vociferus
534,BLTU,AREMEL,Black Turnstone,Arenaria melanocephala
548,SAND,CALALB,Sanderling,Calidris alba
554,LESA,CALMIL,Least Sandpiper,Calidris minutilla
559,WESA,CALMAU,Western Sandpiper,Calidris mauri
569,WISN,GALDEL,Wilson's Snipe,Gallinago delicata
572,SPSA,ACTMAC,Spotted Sandpiper,Actitis macularius
574,SOSA,TRISOL,Solitary Sandpiper,Tringa solitaria
581,GRYE,TRIMEL,Greater Yellowlegs,Tringa melanoleuca
596,COMU,URIAAL,Common Murre,Uria aalge
601,PIGU,CEPCOL,Pigeon Guillemot,Cepphus columba
603,MAMU,BRAMAR,Marbled Murrelet,Brachyramphus marmoratus
604,AMMU,BRAMAA,Alaska Marbled Murrelet,Brachyramphus marmoratus
615,RHAU,CERMON,Rhinoceros Auklet,Cerorhinca monocerata
635,HEEG,LARHEE,Heermann's Gull,Larus heermanni
637,SBIG,LARBRA,Short-billed Gull,Larus brachyrhynchus
638,RBGU,LARDEL,Ring-billed Gull,Larus delawarensis
639,WEGU,LAROCC,Western Gull,Larus occidentalis
640,WGWH,LAROCG,Western X Glaucous-winged Gull Hybrid,Larus occidentalis x glaucescens
642,CAGU,LARCAL,California Gull,Larus californicus
651,GWGU,LARGLS,Glaucous-winged Gull,Larus glaucescens
671,CATE,HYDCAP,Caspian Tern,Hydroprogne caspia
690,RTLO,GAVSTE,Red-throated Loon,Gavia stellata
692,PALO,GAVPAC,Pacific Loon,Gavia pacifica
693,COLO,GAVIMM,Common Loon,Gavia immer
787,BRAC,URIPEN,Brandt's Cormorant,Urile penicillatus
789,PECO,URIPEL,Pelagic Cormorant,Urile pelagicus
791,DCCO,NANAUR,Double-crested Cormorant,Nannopterum auritum
817,GRHE,BUTVIR,Green Heron,Butorides virescens
819,GREG,ARDALB,Great Egret,Ardea alba
